Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
pr,13135005,0,"Wednesday, May 15, 2013 21:58:36 UTC",18.7917,-65.2109,2.4,17.00, 3,"Puerto Rico region"
ci,15343193,2,"Wednesday, May 15, 2013 21:57:11 UTC",33.6602,-118.4152,2.0,0.10,17,"San Pedro Channel, California"
nc,71992086,0,"Wednesday, May 15, 2013 21:49:33 UTC",38.8215,-122.7653,1.0,2.50,17,"Northern California"
uw,60530337,1,"Wednesday, May 15, 2013 21:47:54 UTC",45.8142,-122.8170,1.1,0.00, 8,"Oregon"
ci,15343185,2,"Wednesday, May 15, 2013 21:42:58 UTC",32.8818,-116.2467,1.6,7.00,28,"Southern California"
uw,60530322,1,"Wednesday, May 15, 2013 21:20:51 UTC",49.4365,-120.4988,2.4,0.00,12,"British Columbia, Canada"
ci,15343169,2,"Wednesday, May 15, 2013 21:08:40 UTC",33.4928,-116.4377,1.0,13.50,17,"Southern California"
uw,60530312,1,"Wednesday, May 15, 2013 20:59:35 UTC",47.7197,-120.0503,1.0,0.60, 8,"Washington"
ak,10717620,1,"Wednesday, May 15, 2013 20:58:14 UTC",61.9578,-150.4350,1.4,3.80, 6,"Southern Alaska"
ci,15343161,2,"Wednesday, May 15, 2013 20:09:48 UTC",33.9627,-116.7377,1.4,19.40,33,"Southern California"
ci,15343153,2,"Wednesday, May 15, 2013 20:06:35 UTC",33.2245,-116.0747,1.5,8.20,41,"Southern California"
ci,15343145,7,"Wednesday, May 15, 2013 20:00:06 UTC",33.6597,-118.3745,4.0,1.50,66,"San Pedro Channel, California"
ci,15343129,2,"Wednesday, May 15, 2013 19:58:45 UTC",32.8283,-117.0537,1.3,1.90,12,"San Diego County urban area, California"
nc,71992036,2,"Wednesday, May 15, 2013 19:47:42 UTC",38.7607,-123.2065,1.9,3.20,49,"Northern California"
ak,10717590,1,"Wednesday, May 15, 2013 19:08:05 UTC",61.5017,-151.2085,1.5,3.80, 8,"Southern Alaska"
ci,15343089,2,"Wednesday, May 15, 2013 18:54:58 UTC",35.4893,-118.2960,1.6,4.00,22,"Central California"
nc,71992006,0,"Wednesday, May 15, 2013 18:22:51 UTC",38.8152,-122.8142,1.1,3.20,19,"Northern California"
us,b000gwks,5,"Wednesday, May 15, 2013 18:13:38 UTC",51.1641,179.4788,4.3,35.30,38,"Rat Islands, Aleutian Islands, Alaska"
nc,71991996,0,"Wednesday, May 15, 2013 18:09:37 UTC",38.8432,-122.8278,1.0,2.40,18,"Northern California"
ci,15343081,2,"Wednesday, May 15, 2013 18:08:49 UTC",33.6002,-116.8170,1.5,10.20,41,"Southern California"
ak,10717555,1,"Wednesday, May 15, 2013 18:02:47 UTC",64.7733,-149.3016,1.3,16.40, 8,"Central Alaska"
ci,15343065,2,"Wednesday, May 15, 2013 17:38:10 UTC",33.3752,-116.8317,1.2,6.70,27,"Southern California"
uw,60530267,2,"Wednesday, May 15, 2013 17:29:21 UTC",46.3790,-121.8482,1.9,10.00,42,"Washington"
us,c000gxfj,4,"Wednesday, May 15, 2013 17:24:55 UTC",30.3965,103.1002,4.4,10.50,26,"eastern Sichuan, China"
ci,15343049,2,"Wednesday, May 15, 2013 17:15:21 UTC",33.9825,-116.7460,1.0,17.30,26,"Southern California"
nc,71991976,0,"Wednesday, May 15, 2013 17:10:40 UTC",38.7655,-122.7432,1.0,2.70,18,"Northern California"
ci,15343041,3,"Wednesday, May 15, 2013 17:09:15 UTC",33.5097,-116.4587,1.0,10.80,28,"Southern California"
ak,10717511,1,"Wednesday, May 15, 2013 17:06:06 UTC",61.7991,-150.9521,2.0,24.20,14,"Southern Alaska"
pr,13135004,0,"Wednesday, May 15, 2013 16:52:16 UTC",18.2924,-67.0548,1.5,9.00, 3,"Puerto Rico"
us,2013qfa4,A,"Wednesday, May 15, 2013 16:31:23 UTC",-18.5267,-71.4017,4.3,59.30,17,"off the coast of Tarapaca, Chile"
ak,10717568,2,"Wednesday, May 15, 2013 16:27:36 UTC",51.4263,-175.8472,2.3,26.00,11,"Andreanof Islands, Aleutian Islands, Alaska"
